sub_id,scan_age,sex
sub149,9.704109589,1
sub109,9.715068493,0
sub97,9.717808219,0
sub140,9.728767123,0
sub79,9.761643836,0
sub310,9.77260274,1
sub111,9.778082192,1
sub240,9.783561644,1
sub23,9.797260274,1
sub19,9.805479452,0
sub42,9.810958904,0
sub87,9.82739726,1
sub160,9.82739726,1
sub206,9.830136986,0
sub268,9.849315068,1
sub164,9.852054795,0
sub3,9.860273973,1
sub108,9.873972603,1
sub200,9.893150685,0
sub122,9.895890411,1
sub85,9.898630137,0
sub18,9.904109589,0
sub133,9.909589041,1
sub273,9.912328767,0
sub314,9.915068493,0
sub31,9.920547945,0
sub77,9.934246575,0
sub137,9.936986301,0
sub51,9.942465753,0
sub103,9.942465753,1
sub255,9.945205479,0
sub156,9.956164384,1
sub125,9.961643836,0
sub230,9.978082192,1
sub7,10,0
sub169,10.00821918,1
sub84,10.01369863,0
sub39,10.01369863,1
sub22,10.04657534,0
sub219,10.05753425,0
sub246,10.07945205,1
sub28,10.10136986,0
sub178,10.10684932,1
sub238,10.11232877,1
sub38,10.1260274,0
sub266,10.13150685,1
sub12,10.15616438,1
sub151,10.15616438,0
sub211,10.15616438,0
sub249,10.16986301,0
sub123,10.17260274,1
sub175,10.18356164,0
sub277,10.18630137,0
sub14,10.1890411,0
sub64,10.1890411,0
sub126,10.19452055,1
sub10,10.20821918,1
sub101,10.21369863,0
sub172,10.21643836,0
sub56,10.23561644,0
sub76,10.23835616,1
sub66,10.24383562,1
sub78,10.24383562,1
sub53,10.25479452,1
sub82,10.26027397,1
sub281,10.26849315,0
sub89,10.27123288,1
sub70,10.2739726,0
sub216,10.2739726,1
sub119,10.28219178,1
sub165,10.29315068,1
sub153,10.3260274,0
sub190,10.33150685,0
sub267,10.33150685,1
sub174,10.34246575,0
sub20,10.34520548,0
sub185,10.35068493,0
sub141,10.36164384,0
sub271,10.36164384,1
sub65,10.36986301,1
sub194,10.36986301,0
sub127,10.37260274,1
sub173,10.37808219,1
sub293,10.38630137,0
sub24,10.39452055,0
sub36,10.40273973,0
sub191,10.4109589,1
sub62,10.41643836,0
sub197,10.41917808,0
sub54,10.42465753,0
sub48,10.4630137,0
sub68,10.4630137,1
sub67,10.47123288,1
sub243,10.47123288,1
sub57,10.47945205,0
sub168,10.47945205,1
sub63,10.48493151,1
sub274,10.49315068,1
sub72,10.49589041,1
sub80,10.49863014,0
sub306,10.49863014,1
sub117,10.50136986,1
sub73,10.5260274,0
sub170,10.5260274,1
sub17,10.53150685,1
sub75,10.53972603,0
sub35,10.54520548,1
sub46,10.55616438,0
sub285,10.56986301,1
sub32,10.57808219,1
sub44,10.58630137,1
sub37,10.6,0
sub206,10.62465753,0
sub21,10.64657534,1
sub215,10.64657534,1
sub232,10.65753425,1
sub256,10.66575342,1
sub209,10.66849315,1
sub295,10.66849315,0
sub102,10.67671233,0
sub92,10.69589041,1
sub79,10.71780822,0
sub113,10.72876712,1
sub71,10.74246575,0
sub155,10.75342466,0
sub276,10.76164384,0
sub90,10.76712329,1
sub160,10.76712329,1
sub106,10.78082192,1
sub23,10.78356164,1
sub81,10.79452055,1
sub97,10.79452055,0
sub42,10.82465753,0
sub265,10.84657534,1
sub137,10.85753425,0
sub31,10.86027397,0
sub133,10.86849315,1
sub183,10.8739726,1
sub103,10.87671233,1
sub203,10.89589041,1
sub18,10.91506849,0
sub30,10.91780822,1
sub49,10.91780822,1
sub29,10.92054795,1
sub205,10.95616438,0
sub51,10.95890411,0
sub178,10.95890411,1
sub77,10.98082192,0
sub39,10.98356164,1
sub305,10.99452055,1
sub162,11,0
sub288,11.00821918,0
sub7,11.02739726,0
sub61,11.03835616,0
sub148,11.06849315,1
sub58,11.08493151,0
sub158,11.08493151,0
sub26,11.10136986,0
sub38,11.10958904,0
sub28,11.11232877,0
sub211,11.13150685,0
sub278,11.14246575,1
sub22,11.14794521,0
sub139,11.16712329,0
sub12,11.16986301,1
sub4,11.19452055,1
sub10,11.21643836,1
sub154,11.23013699,1
sub120,11.25753425,1
sub8,11.32054795,1
sub9,11.34794521,0
sub238,11.35890411,1
sub5,11.38082192,1
sub62,11.4109589,0
sub24,11.42191781,0
sub19,11.43287671,0
sub36,11.43561644,0
sub124,11.43561644,1
sub20,11.45753425,0
sub59,11.45753425,0
sub68,11.45753425,1
sub83,11.46575342,0
sub2,11.46849315,1
sub123,11.47671233,1
sub57,11.47945205,0
sub25,11.49589041,1
sub52,11.50684932,1
sub307,11.51232877,0
sub75,11.52328767,0
sub294,11.53424658,0
sub17,11.56438356,1
sub104,11.59178082,0
sub6,11.59726027,0
sub37,11.6,0
sub215,11.60547945,1
sub80,11.61369863,0
sub11,11.61643836,1
sub232,11.67671233,1
sub298,11.69589041,0
sub289,11.70958904,1
